,free_node_coor_list,14:34:38,13384
0,-32,-8,-4
1,-31,-8,-3
2,-30,-8,-3
3,-29,-8,-3
4,-28,-8,-3
5,-27,-7,-3
6,-26,-7,-3
7,-25,-7,-2
8,-31,-4,-2
9,-31,-4,-1
10,-31,-3,-1
11,-30,-4,-2
12,-29,-3,-2
13,-30,-3,-1
14,-29,-3,-1
15,-28,-3,-2
16,-27,-3,-2
17,-28,-3,-1
18,-27,-3,-1
19,-26,-3,-2
20,-25,-3,-2
21,-26,-3,-1
22,-25,-3,-1
23,-24,-7,-2
24,-23,-7,-2
25,-22,-6,-2
26,-21,-6,-2
27,-20,-6,-2
28,-19,-6,-1
29,-18,-6,-1
30,-17,-6,-1
31,-24,-3,-2
32,-23,-3,-2
33,-24,-3,-1
34,-23,-3,-1
35,-22,-3,-2
36,-22,-3,-1
37,-24,-2,-1
38,-23,-2,-1
39,-22,-2,-1
40,-21,-2,-1
41,-20,-2,-1
42,-19,-2,-1
43,-18,-2,-1
44,-17,-2,-1
45,-16,-5,-1
46,-15,-5,-1
47,-14,-5,-1
48,-16,-2,-1
49,-15,-1,-1
50,-14,-2,-1
51,-13,-2,-1
52,-14,-1,-1
53,-13,-1,-1
54,-12,-2,-1
55,-12,-1,-1
56,-11,-1,-1
57,-10,-2,-1
58,-9,-2,-1
59,-10,-1,-1
60,-9,-1,-1
61,-1,-6,-1
62,-1,-5,-1
63,-8,-2,-1
64,-7,-2,-1
65,-8,-1,-1
66,-7,-1,-1
67,-6,-1,-1
68,-5,-1,-1
69,-1,-4,-1
70,-1,-3,-1
71,-4,-1,-1
72,-3,-1,-1
73,-1,-2,-1
74,-2,-1,-1
75,-1,-1,-1
76,27,-31,-14
77,27,-30,-14
78,26,-29,-13
79,26,-28,-12
80,26,-27,-12
81,25,-25,-11
82,26,-26,-11
83,25,-24,-10
84,25,-23,-9
85,25,-22,-9
86,20,-31,-1
87,24,-21,-8
88,24,-20,-8
89,24,-19,-7
90,24,-18,-7
91,24,-17,-6
92,0,-6,-1
93,0,-5,-1
94,0,-4,-1
95,0,-3,-1
96,0,-2,-1
97,0,-1,-1
98,1,-1,-1
99,2,-1,-1
100,3,-1,-1
101,4,-1,-1
102,5,-1,-1
103,23,-16,-5
104,23,-15,-5
105,23,-14,-4
106,23,-13,-4
107,22,-12,-3
108,22,-11,-3
109,22,-10,-2
110,22,-9,-1
111,21,-8,-1
112,-18,0,-1
113,-17,0,-1
114,-16,0,-1
115,-15,0,-1
116,-14,0,-1
117,-13,0,-1
118,-12,0,-1
119,-11,0,-1
120,-10,0,-1
121,-9,0,-1
122,-8,0,-1
123,-7,0,-1
124,-6,0,-1
125,-5,0,-1
126,-4,0,-1
127,-3,0,-1
128,-2,0,-1
129,-1,0,-1
130,-1,1,-1
131,-1,2,-1
132,-1,3,-1
133,-1,4,-1
134,-1,5,-1
135,-32,16,-1
136,-31,16,-1
137,-30,16,-1
138,-29,16,-1
139,-28,16,-1
140,-27,16,-1
141,-26,16,-1
142,0,0,-1
143,1,0,-1
144,0,1,-1
145,2,0,-1
146,0,2,-1
147,0,3,-1
148,4,1,-1
149,5,1,-1
150,6,0,-1
151,6,1,-1
152,0,4,-1
153,0,5,-1
154,0,6,-1
155,8,1,-1
156,9,1,-1
157,10,1,-1
158,11,1,-1
159,11,2,-1
160,12,1,-1
161,12,2,-1
162,13,2,-1
163,14,2,-1
164,15,2,-1
165,16,2,-1
166,17,2,-1
167,17,3,-1
168,18,2,-1
169,19,2,-1
170,18,3,-1
171,19,3,-1
172,20,2,-1
173,21,2,-1
174,20,3,-1
175,21,3,-1
176,22,2,-1
177,22,3,-1
178,23,3,-1
179,23,4,-1
180,24,3,-1
181,25,3,-1
182,26,3,-1
183,27,3,-1
184,28,3,-1
185,29,3,-1
186,30,3,-1
187,31,3,-1
188,24,4,-1
189,25,4,-1
190,26,4,-1
