,free_node_coor_list,14:35:38,24058
0,-31,-28,-1
1,-30,-27,-1
2,-29,-27,-1
3,-15,-32,-1
4,-16,-31,-1
5,-13,-32,-2
6,-13,-31,-2
7,-13,-30,-2
8,-13,-29,-1
9,-13,-28,-1
10,-32,-8,-4
11,-31,-8,-3
12,-30,-8,-3
13,-29,-8,-3
14,-28,-8,-3
15,-27,-7,-3
16,-26,-7,-3
17,-25,-7,-2
18,-31,-4,-2
19,-31,-4,-1
20,-31,-3,-1
21,-30,-4,-2
22,-29,-3,-2
23,-30,-3,-1
24,-29,-3,-1
25,-28,-3,-2
26,-27,-3,-2
27,-28,-3,-1
28,-27,-3,-1
29,-26,-3,-2
30,-25,-3,-2
31,-26,-3,-1
32,-25,-3,-1
33,-24,-7,-2
34,-23,-7,-2
35,-22,-6,-2
36,-21,-6,-2
37,-20,-6,-2
38,-19,-6,-1
39,-18,-6,-1
40,-17,-6,-1
41,-24,-3,-2
42,-23,-3,-2
43,-24,-3,-1
44,-23,-3,-1
45,-22,-3,-2
46,-22,-3,-1
47,-24,-2,-1
48,-23,-2,-1
49,-22,-2,-1
50,-21,-2,-1
51,-20,-2,-1
52,-19,-2,-1
53,-18,-2,-1
54,-17,-2,-1
55,-16,-5,-1
56,-15,-5,-1
57,-14,-5,-1
58,-16,-2,-1
59,-15,-1,-1
60,-14,-2,-1
61,-13,-2,-1
62,-14,-1,-1
63,-13,-1,-1
64,-12,-2,-1
65,-12,-1,-1
66,-11,-1,-1
67,-10,-2,-1
68,-9,-2,-1
69,-10,-1,-1
70,-9,-1,-1
71,-1,-6,-1
72,-1,-5,-1
73,-8,-2,-1
74,-7,-2,-1
75,-8,-1,-1
76,-7,-1,-1
77,-6,-1,-1
78,-5,-1,-1
79,-1,-4,-1
80,-1,-3,-1
81,-4,-1,-1
82,-3,-1,-1
83,-1,-2,-1
84,-2,-1,-1
85,-1,-1,-1
86,27,-31,-14
87,27,-30,-14
88,26,-29,-13
89,26,-28,-12
90,26,-27,-12
91,25,-25,-11
92,26,-26,-11
93,25,-24,-10
94,25,-23,-9
95,25,-22,-9
96,20,-31,-1
97,20,-20,-1
98,21,-20,-1
99,22,-20,-1
100,23,-20,-1
101,24,-21,-8
102,24,-20,-8
103,24,-19,-7
104,24,-18,-7
105,24,-17,-6
106,31,-22,-1
107,24,-20,-1
108,25,-20,-1
109,26,-20,-2
110,27,-20,-2
111,28,-20,-2
112,29,-20,-2
113,30,-20,-2
114,31,-20,-2
115,30,-20,-1
116,31,-20,-1
117,12,-15,-1
118,13,-15,-1
119,14,-15,-1
120,15,-15,-1
121,0,-6,-1
122,0,-5,-1
123,0,-4,-1
124,0,-3,-1
125,0,-2,-1
126,0,-1,-1
127,1,-1,-1
128,2,-1,-1
129,3,-1,-1
130,4,-1,-1
131,5,-1,-1
132,23,-16,-5
133,23,-15,-5
134,17,-15,-2
135,16,-15,-1
136,18,-15,-2
137,19,-14,-2
138,21,-14,-3
139,23,-14,-4
140,23,-13,-4
141,22,-14,-3
142,23,-14,-3
143,20,-14,-2
144,22,-12,-3
145,22,-11,-3
146,22,-10,-2
147,22,-9,-1
148,31,-13,-5
149,24,-14,-3
150,25,-14,-3
151,26,-14,-4
152,27,-14,-4
153,28,-14,-4
154,29,-13,-4
155,30,-13,-4
156,21,-8,-1
157,24,-6,-1
158,25,-6,-1
159,26,-6,-1
160,27,-6,-1
161,28,-6,-1
162,29,-6,-1
163,30,-6,-2
164,31,-6,-2
165,-18,0,-1
166,-17,0,-1
167,-18,12,-1
168,-18,13,-1
169,-19,14,-1
170,-19,15,-1
171,-18,14,-1
172,-18,15,-1
173,-16,0,-1
174,-15,0,-1
175,-14,0,-1
176,-13,0,-1
177,-12,0,-1
178,-11,0,-1
179,-10,0,-1
180,-9,0,-1
181,-8,0,-1
182,-7,0,-1
183,-6,0,-1
184,-5,0,-1
185,-4,0,-1
186,-3,0,-1
187,-2,0,-1
188,-1,0,-1
189,-1,1,-1
190,-1,2,-1
191,-1,3,-1
192,-1,4,-1
193,-1,5,-1
194,-32,16,-1
195,-31,16,-1
196,-30,16,-1
197,-29,16,-1
198,-28,16,-1
199,-27,16,-1
200,-26,16,-1
201,-19,16,-1
202,-19,17,-1
203,-18,16,-2
204,-18,17,-2
205,-18,16,-1
206,-18,17,-1
207,-19,18,-2
208,-19,19,-2
209,-19,19,-1
210,-18,18,-2
211,-18,19,-2
212,-18,18,-1
213,-18,19,-1
214,-17,20,-3
215,-17,21,-3
216,-19,22,-3
217,-19,23,-3
218,-17,22,-3
219,-18,23,-3
220,-17,23,-3
221,-19,20,-2
222,-19,21,-2
223,-19,20,-1
224,-19,21,-1
225,-18,20,-2
226,-18,21,-2
227,-18,20,-1
228,-17,20,-1
229,-18,21,-1
230,-17,21,-1
231,-19,22,-2
232,-19,23,-2
233,-19,23,-1
234,-18,22,-2
235,-17,22,-2
236,-18,23,-2
237,-17,23,-2
238,-18,22,-1
239,-17,22,-1
240,-17,23,-1
241,-19,29,-5
242,-17,28,-5
243,-17,29,-5
244,-19,30,-5
245,-19,31,-5
246,-17,30,-5
247,-17,31,-5
248,-21,26,-1
249,-21,27,-1
250,-19,25,-4
251,-19,24,-3
252,-17,24,-4
253,-17,25,-4
254,-18,24,-3
255,-17,25,-3
256,-19,26,-4
257,-19,27,-4
258,-19,26,-3
259,-19,27,-3
260,-17,26,-4
261,-17,27,-4
262,-17,26,-3
263,-18,27,-3
264,-17,27,-3
265,-19,24,-2
266,-19,25,-2
267,-19,24,-1
268,-19,25,-1
269,-18,24,-2
270,-17,24,-2
271,-18,25,-2
272,-17,25,-2
273,-17,24,-1
274,-18,25,-1
275,-17,25,-1
276,-19,26,-1
277,-19,27,-1
278,-18,26,-2
279,-18,26,-1
280,-17,26,-1
281,-18,27,-1
282,-17,27,-1
283,-21,28,-1
284,-21,29,-1
285,-21,31,-2
286,-21,30,-1
287,-19,28,-4
288,-19,28,-3
289,-19,29,-3
290,-17,28,-4
291,-17,29,-4
292,-18,28,-3
293,-17,28,-3
294,-18,29,-3
295,-17,29,-3
296,-19,30,-4
297,-19,31,-4
298,-17,30,-4
299,-18,31,-4
300,-17,31,-4
301,-18,30,-3
302,-19,28,-2
303,-19,29,-2
